Case_Number,Date_Filed,Offense_Date,Violation_List_Dispositions,Bindover Description,Bindover Date
23M02455,4/23/23,4/23/23,"42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE -
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE -",,
23M02460,4/24/23,4/23/23,"42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 05/25/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 05/25/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 05/25/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 05/25/2023
42-4-204 HEADLAMPS-FAILURE TO DISPLAY - CLASS A TRAFFIC INFRACTION - DISMISSED 05/25/2023",,
23M02465,4/24/23,4/23/23,"42-3-114 EXPIRED LIC PLATES 60 + DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 11/30/2023
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/30/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - GUILTY 11/30/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 11/30/2023",,
23CR02179,4/25/23,1/21/23,"42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DUI-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -
42-4-1301(2)(a) DUI PER SE-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -
42-4-1402(1),(2)(a) CARELESS DRIVING [FDZ] - CLASS 2 TRAFFIC OFFENSE -",BOUND OVER TO DISTRICT COURT,4/27/23
23M02482,4/25/23,4/25/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 08/14/2023
42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION - DISMISSED 08/14/2023
42-3-121(1)(b) REGISTRATION-FICTITIOUS PLATE - CLASS 2 TRAFFIC OFFENSE - DISMISSED 08/14/2023
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/14/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 08/14/2023
42-4-1402(1),(2)(b) CARELESS DRIVING RESULTING IN INJURY - CLASS 1 TRAFFIC OFFENSE - DISMISSED 08/14/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 08/14/2023",,
23CR02327,4/26/23,4/24/23,"42-4-1301(1)(a) DUI-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -",BOUND OVER TO DISTRICT COURT,4/26/23
23M02498,4/26/23,4/25/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION -
42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE -
42-4-1301(1)(a) DUI-DRUGS - UNCLASSIFIED MISDEMEANOR -
42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE -",,
23M02532,4/27/23,4/27/23,"42-2-206(1)(b) AGGRAVATED DRIVING W/ REVOKED LICENSE  - CLASS 1 TRAFFIC OFFENSE - DISMISSED 10/06/2023
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 10/06/2023
42-4-1301(2)(a) DUI PER SE-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/06/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 10/06/2023",,
23M02539,4/28/23,4/27/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 02/23/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 02/23/2024
42-4-1409(1) NO INSURANCE - OWNER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 02/23/2024",,
23M02541,4/28/23,4/28/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/30/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 08/30/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/30/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 08/30/2023",,
23M02554,4/28/23,4/28/23,"42-4-1211(1)(a) UNSAFE BACKING - CLASS A TRAFFIC INFRACTION - DISMISSED 11/07/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/07/2023
42-4-1301(1)(a);42-4-1307(3)(b) DRIVING UNDER THE INFLUENCE - .20 OR OVER - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/07/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/07/2023",,
23M02559,4/28/23,4/28/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/11/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 07/11/2023",,
23M02562,4/29/23,4/28/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - DISMISSED 06/12/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 06/12/2023",,
23M02565,4/29/23,4/29/23,"42-2-101(5) DRIVER'S LICENSE-NOT IN POSSESSION - CLASS B TRAFFIC INFRACTION - DISMISSED 10/06/2023
42-4-1101(1) SPEEDING 10-19 OVER LIMIT - CLASS A TRAFFIC INFRACTION - DISMISSED 10/06/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 10/06/2023",,
23M02566,4/29/23,4/29/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 04/29/2024
42-4-1101(1) SPEEDING 10-19 OVER LIMIT - CLASS A TRAFFIC INFRACTION - DISMISSED 04/29/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 04/29/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 04/29/2024
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 04/29/2024",,
23M02575,4/30/23,4/29/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 10/06/2023
42-4-1301(1)(a);42-4-1307(3)(b) DRIVING UNDER THE INFLUENCE - .20 OR OVER - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/06/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/06/2023",,
23M02576,4/30/23,4/30/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 02/09/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 02/09/2024
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION - DISMISSED 02/09/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 02/09/2024",,
23M02577,4/30/23,4/29/23,"18-13-122(3)(a);4(a) ALCOHOL-UNDER21- POSSESS/CONSUMP - UNCLASSIFIED PETTY OFFENSE - DISMISSED 08/14/2023
42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 08/14/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/14/2023
42-4-1301(1)(a);42-4-1307(3)(b) DRIVING UNDER THE INFLUENCE - .20 OR OVER - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 08/14/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 08/14/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 08/14/2023",,
23M02579,4/30/23,4/29/23,"18-3-204(1)(a) ASSAULT 3-KNOW/RECKLESS CAUSE INJURY - CLASS 1 MISDEMEANOR - DISMISSED 10/06/2023
18-3-204(1)(a);18-1.3-501(1.5) ASSAULT 3-FIRST RESPONDER - CLASS 1 MISDEMEANOR - DISMISSED 10/06/2023
18-4-501(1),(4)(a) CRIMINAL MISCHIEF-UNDER $300 - PETTY OFFENSE - DISMISSED 10/06/2023
18-8-104(1)(a) OBSTRUCTING A PEACE OFFICER - CLASS 2 MISDEMEANOR - GUILTY/AMENDED 10/06/2023
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 10/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/06/2023",,
23M02580,4/30/23,4/30/23,"42-4-1202 PARKING ON ROADWAY                            - CLASS B TRAFFIC INFRACTION - DISMISSED 08/18/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/18/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 08/18/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/18/2023",,
23M02581,4/30/23,4/30/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 10/10/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/10/2023",,
23M02603,5/1/23,4/30/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION -
42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE -",,
23CR02321,5/2/23,10/2/22,"42-4-1301(1)(a) DUI-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -",BOUND OVER TO DISTRICT COURT,5/10/23
23CR02448,5/3/23,4/29/23,"18-4-409(2),(3)(a.5) MOTOR VEHICLE THEFT/AGG 1  20K-100K - CLASS 4 FELONY - DISMISSED 07/15/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/15/2024
42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/15/2024
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR - GUILTY 07/15/2024",,
23M02633,5/3/23,5/3/23,"42-2-206(1)(a) DRIVING AFTER REVOCATION PROHIBITED  - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/05/2024
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR - GUILTY 11/05/2024
42-4-1301(2)(a) DUI PER SE-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/05/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/05/2024",,
23M02655,5/3/23,5/3/23,"42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/13/2023
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/13/2023
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR - GUILTY/AMENDED 11/13/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 11/13/2023",,
23M02657,5/3/23,5/3/23,"42-4-1008(1) FOLLOWING TOO CLOSELY - CLASS A TRAFFIC INFRACTION - DISMISSED 07/18/2024
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/18/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 07/18/2024
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 07/18/2024",,
23CR02430,5/4/23,4/28/23,"18-3-205(1)(b) VEHICULAR ASSAULT-DUI                         - CLASS 4 FELONY -
42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE -
42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR -
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE -
42-4-1601(1),(2)(b) LEAVING SCENE/ACCIDENT INVOLVING SBI - CLASS 4 FELONY -",BND OVER DC NO PH ENTITLEMENT,5/23/23
23M02666,5/4/23,5/4/23,"42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION - DISMISSED 01/09/2024
42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 01/09/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/09/2024
42-4-1301(1)(b) DWAI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 01/09/2024
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/09/2024
42-4-204 HEADLAMPS-FAILURE TO DISPLAY - CLASS A TRAFFIC INFRACTION - DISMISSED 01/09/2024",,
23M02680,5/4/23,5/4/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 09/19/2023
42-2-138(1.5) DRIVING UNDER RESTRAINT-OUTSTNDNG JDGMNT - CLASS A TRAFFIC INFRACTION - DISMISSED 09/19/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 09/19/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 09/19/2023",,
23M02689,5/5/23,5/5/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/16/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/16/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/16/2023",,
23M02690,5/5/23,5/5/23,"42-2-206(1)(a) DRIVING AFTER REVOCATION PROHIBITED  - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/23/2024
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 01/23/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/23/2024
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 01/23/2024",,
23M02710,5/6/23,5/6/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/06/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/06/2023
42-4-604(1)(c)(I) RED LIGHT-FAIL TO STOP                        - CLASS A TRAFFIC INFRACTION - DISMISSED 11/06/2023",,
23M02718,5/6/23,5/6/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 01/09/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/09/2024",,
23M02720,5/6/23,5/6/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 12/12/2023
42-4-1402(1),(2)(b) CARELESS DRIVING RESULTING IN INJURY - CLASS 1 TRAFFIC OFFENSE - GUILTY 12/12/2023
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 12/12/2023",,
23M02724,5/7/23,5/7/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION -
42-3-121(1)(c) REGISTRATION-MISUSE OF PLATES - CLASS B TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -",,
23M02726,5/7/23,5/7/23,"42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION - DISMISSED 09/18/2023
42-3-121(1)(a) REGISTRATION-UNREGISTERED VEHICLE - CLASS B TRAFFIC INFRACTION - DISMISSED 09/18/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 09/18/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 09/18/2023
42-4-1409(1) NO INSURANCE - OWNER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 09/18/2023",,
23M02727,5/7/23,5/7/23,"42-4-1101(1),(12) SPEEDING 40/MORE OVER LIMIT - CLASS 2 TRAFFIC OFFENSE - DISMISSED 07/14/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/14/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 07/14/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 07/14/2023",,
23M02728,5/7/23,5/7/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 04/22/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 04/22/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 04/22/2024",,
